STT,SO_DANG_KY,TEN_THUOC,"MA_HOAT_CHAT
(Theo Thông tư số 40/2014/TT-BYT)","HOAT_CHAT
(Theo Thông tư số 40/2014/TT-BYT)","HOAT_CHAT
(Theo Số đăng ký)",MA_DUONG_DUNG,DUONG_DUNG,HAM_LUONG,DONG_GOI,HANG_SX,NUOC_SX
93,QLSP-0721-13,Roferon A,40.267,Interferon (alpha)*,Interferon alpha 2a,2.10,Tiêm,"4,5 MIU/0,5 ml","Hộp 01 bơm tiêm đóng sẵn 0,5 ml",F. Hoffmann La Roche Ltd.,Switzwerland
94,QLSP-0722-13,Roferon A,40.267,Interferon (alpha)*,Interferon alpha 2a,2.10,Tiêm,"3 MIU/0,5 ml","Hộp 01 bơm tiêm đóng sẵn 0,5ml ",F. Hoffmann La Roche Ltd.,Switzwerland
95,VN2-357-15,Saquin,40.275,Saquinavir (SQV),Saquinavir (dưới dạng Saquinavir mesilate),1.01,Uống,500mg,Hộp 1 lọ 30 viên,Hetero Labs Limited,India
96,VD-6496-08,Stavudine 30-SPM,40.276,Stavudin (d4T),Stavudin,1.01,Uống,30mg,"Hộp 3 vỉ x 10 viên; 10 vỉ x 10 viên, hộp 1 chai 100 viên nang cứng",Công ty cổ phần SPM,Việt Nam
97,VD-7207-09,Stavudin 30 ICA,40.276,Stavudin (d4T),Stavudin,1.01,Uống,30mg,Hộp 1 chai 60 viên nén,Công ty cổ phần công nghệ sinh học dược phẩm ICA,Việt Nam
98,VD-9065-09,Stavudine Stada 30 mg,40.276,Stavudin (d4T),Stavudin,1.01,Uống,30 mg,"hộp 6 vỉ, 10 vỉ x 10 viên, hộp 1chai 30 viên, 60 viên, 100 viên nang",Công ty liên doanh TNHH Stada Việt Nam,Việt Nam
99,VD-9770-09,Stavudine Stada 40 mg,40.276,Stavudin (d4T),Stavudin,1.01,Uống,40 mg,"hộp 6 vỉ, 10 vỉ x 10 viên, hộp 1 chai 60 viên nang",Công ty liên doanh TNHH Stada Việt Nam,Việt Nam
100,VN-10392-10,Stavudine Capsules 30mg,40.276,Stavudin (d4T),Stavudine,1.01,Uống,30mg,Hộp 1 lọ 30 viên,Matrix Laboratories Limited,India
101,VN-12495-11,Stag-15,40.276,Stavudin (d4T),Stavudine,1.01,Uống,15mg,Lọ 60 viên,Hetero Drugs Ltd.,India
102,VN-12496-11,Stag-20,40.276,Stavudin (d4T),Stavudine,1.01,Uống,20mg,Lọ 60 viên,Hetero Drugs Ltd.,India
103,VN-12497-11,Stag-30,40.276,Stavudin (d4T),Stavudine,1.01,Uống,30mg,Lọ 60 viên,Hetero Drugs Ltd.,India
104,VN-12498-11,Stag-40,40.276,Stavudin (d4T),Stavudine,1.01,Uống,40mg,Lọ 60 viên,Hetero Drugs Ltd.,India
105,VD-12691-10,Aphagystin,40.298,Nystatin + metronidazol,Metronidazol; nystatin,4.01,Đặt âm đạo,500mg; 100.000IU,Hộp 1 vỉ x 10 viên nén đặt phụ khoa,Xí nghiệp dược phẩm 120- Công ty Dược và TTBYT Quân Đội.,Việt Nam
106,VD-19530-13,Medilginal,40.298,Nystatin + metronidazol,Metronidazol; nystatin,4.01,Đặt âm đạo,500mg;  100.000IU,hộp 1 vỉ x 10 viên,Công ty cổ phần dược TW Mediplantex,Việt nam
107,VD-11409-10,Meclogynaz,40.299,Nystatin + metronidazol + Cloramphenicol + dexamethason acetat,"Metronidazol, cloramphenicol, dexamethason acetat, nystatin",4.01,Đặt âm đạo,"200mg; 80mg; 0,5mg; 100.000IU","Hộp 1 vỉ x 12 viên, hộp 2 vỉ x 6 viên nén đặt phụ khoa",Công ty cổ phần dược  phẩm Nam Hà,Việt Nam
108,VD-14926-11,Nyslodex,40.299,Nystatin + metronidazol + Cloramphenicol + dexamethason acetat,Metronidazol; Cloramphenicol; Dexamethason acetat; Nystatin,4.01,Đặt âm đạo,"200mg; 80mg; 0,5mg; 100.000IU",Hộp 1 vỉ x 10 viên; Chai nhựa HD x 10 viên nén đặt phụ khoa,Công ty cổ phần dược phẩm Agimexpharm,Việt Nam
109,VD-15821-11,Lady-Gynax,40.299,Nystatin + metronidazol + Cloramphenicol + dexamethason acetat,Metronidazol; Cloramphenicol; Dexamethason acetat; Nystatin,4.01,Đặt âm đạo,"200mg; 80mg; 0,5mg; 100.000IU",Hộp 1 vỉ x 10 viên; Hộp 2 vỉ x 5 viên; Hộp 1 lọ x 10 viên nén đặt âm đạo,Công ty Cổ phần Dược phẩm trung ương I - Pharbaco,Việt Nam
110,VD-18015-12,Deginal,40.299,Nystatin + metronidazol + Cloramphenicol + dexamethason acetat,"Nystatin, Metronidazol, Cloramphenicol, Dexamethason acetat",4.01,Đặt âm đạo,"100.000IU; 200mg; 80mg; 0,5mg","hộp 1 vỉ (nhôm/nhôm) x 10 viên, hộp 3 vỉ (nhôm/nhôm) x 4 viên, hộp 1 vỉ nhôm xé x 10 viên, hộp 1 vỉ nhôm xé x 12 viên, hộp 1 lọ 10 viên",Công ty cổ phần dược TW Mediplantex,Việt nam
111,VD-19997-13,Roseginal,40.299,Nystatin + metronidazol + Cloramphenicol + dexamethason acetat,Metronidazol; Nystatin; Cloramphenicol ; Dexamethason acetat,4.01,Đặt âm đạo,"200mg; 100.000IU; 80mg; 0,5mg",hộp 3 vỉ x 4 viên,Công ty cổ phần dược TW Mediplantex,Việt nam
112,VD-22000-14,Terzy New,40.299,Nystatin + metronidazol + Cloramphenicol + dexamethason acetat,Metronidazol; Cloramphenicol; Dexamethason acetat; Nystatin,4.01,Đặt âm đạo,"200 mg; 80 mg;  0,5 mg; 100.000 IU",Hộp 1 vỉ x 10 viên,Công ty TNHH dược phẩm USA - NIC (USA - NIC Pharma),Việt Nam
